Network Management Card AOS v6.4.6
RPDU 2g APP v6.4.6
NMC Serial Number: ZA1817026881

Model Number: AP8858EU3
RPDU Serial Number: ZA1818021379
Hardware Revision: 02
NMC BM Version: 1.0.8

Date     	Time     	Name	Contact	Location	System IP
02/21/2024	03:06:07	apc064272	Unknown	Unknown	192.168.255.40

		RPDU 1* (SN:ZA1818021379)   	   	   	   	   	   	   	
Date	Time	Pwr.kW	Pwr Max.kW	Energy.kWh	Temp.C	Hum.%RH	Ph I.A	Ph I Max.A
06/17/2021	23:46:38	0.23	0.23	9503.5	   	   	1.5	1.5	
06/17/2021	23:36:38	0.23	0.23	9503.5	   	   	1.5	1.5	
06/17/2021	23:26:37	0.23	0.23	9503.5	   	   	1.5	1.5	
06/17/2021	23:16:37	0.23	0.23	9503.4	   	   	1.5	1.5	
06/17/2021	23:06:37	0.23	0.23	9503.4	   	   	1.5	1.5	
06/17/2021	22:56:37	0.23	0.23	9503.3	   	   	1.5	1.5	
06/17/2021	22:46:37	0.23	0.23	9503.3	   	   	1.5	1.5	
06/17/2021	22:36:37	0.23	0.23	9503.3	   	   	1.5	1.5	
06/17/2021	22:26:37	0.23	0.23	9503.2	   	   	1.5	1.5	
06/17/2021	22:16:37	0.23	0.23	9503.2	   	   	1.5	1.5	
06/17/2021	22:06:37	0.23	0.23	9503.2	   	   	1.5	1.5	
06/17/2021	21:56:37	0.23	0.23	9503.1	   	   	1.5	1.5	
06/17/2021	21:46:37	0.23	0.23	9503.1	   	   	1.5	1.5	
06/17/2021	21:36:37	0.23	0.23	9503.0	   	   	1.5	1.5	
06/17/2021	21:26:37	0.23	0.23	9503.0	   	   	1.5	1.5	
06/17/2021	21:16:37	0.23	0.23	9503.0	   	   	1.5	1.5	
06/17/2021	21:06:37	0.23	0.23	9502.9	   	   	1.5	1.5	
06/17/2021	20:56:37	0.23	0.23	9502.9	   	   	1.5	1.5	
06/17/2021	20:46:37	0.23	0.23	9502.9	   	   	1.5	1.5	
06/17/2021	20:36:37	0.23	0.23	9502.8	   	   	1.5	1.5	
06/17/2021	20:26:37	0.23	0.23	9502.8	   	   	1.5	1.5	
06/17/2021	20:16:37	0.23	0.23	9502.8	   	   	1.5	1.5	
06/17/2021	20:06:37	0.23	0.23	9502.7	   	   	1.5	1.5	
06/17/2021	19:56:37	0.23	0.23	9502.7	   	   	1.5	1.5	
06/17/2021	19:46:37	0.23	0.23	9502.6	   	   	1.5	1.5	
06/17/2021	19:36:37	0.23	0.23	9502.6	   	   	1.5	1.5	
06/17/2021	19:26:37	0.23	0.23	9502.6	   	   	1.5	1.5	
06/17/2021	19:16:37	0.23	0.23	9502.5	   	   	1.5	1.5	
06/17/2021	19:06:36	0.23	0.23	9502.5	   	   	1.5	1.5	
06/17/2021	18:56:36	0.23	0.23	9502.5	   	   	1.5	1.5	
06/17/2021	18:46:36	0.23	0.23	9502.4	   	   	1.5	1.5	
06/17/2021	18:36:36	0.23	0.23	9502.4	   	   	1.5	1.5	
06/17/2021	18:26:36	0.23	0.23	9502.3	   	   	1.5	1.5	
06/17/2021	18:16:36	0.23	0.23	9502.3	   	   	1.5	1.5	
06/17/2021	18:06:36	0.23	0.23	9502.3	   	   	1.5	1.5	
06/17/2021	17:56:36	0.23	0.23	9502.2	   	   	1.5	1.5	
06/17/2021	17:46:36	0.23	0.23	9502.2	   	   	1.5	1.5	
06/17/2021	17:36:36	0.23	0.23	9502.2	   	   	1.5	1.5	
06/17/2021	17:26:36	0.23	0.23	9502.1	   	   	1.5	1.5	
06/17/2021	17:16:36	0.23	0.23	9502.1	   	   	1.5	1.5	
06/17/2021	17:06:36	0.23	0.23	9502.0	   	   	1.5	1.5	
06/17/2021	16:56:36	0.23	0.23	9502.0	   	   	1.5	1.5	
06/17/2021	16:46:36	0.23	0.23	9502.0	   	   	1.5	1.5	
06/17/2021	16:36:36	0.23	0.23	9501.9	   	   	1.5	1.5	
06/17/2021	16:26:36	0.23	0.23	9501.9	   	   	1.5	1.5	
06/17/2021	16:16:36	0.23	0.23	9501.9	   	   	1.5	1.5	
06/17/2021	16:06:36	0.23	0.23	9501.8	   	   	1.5	1.5	
06/17/2021	15:56:36	0.23	0.23	9501.8	   	   	1.5	1.5	
06/17/2021	15:46:36	0.23	0.23	9501.7	   	   	1.5	1.5	
06/17/2021	15:36:36	0.23	0.23	9501.7	   	   	1.5	1.5	
06/17/2021	15:26:36	0.23	0.23	9501.7	   	   	1.5	1.5	
06/17/2021	15:16:36	0.23	0.23	9501.6	   	   	1.5	1.5	
06/17/2021	15:06:36	0.23	0.23	9501.6	   	   	1.5	1.5	
06/17/2021	14:56:36	0.23	0.23	9501.6	   	   	1.5	1.5	
06/17/2021	14:46:36	0.23	0.23	9501.5	   	   	1.5	1.5	
06/17/2021	14:36:36	0.23	0.23	9501.5	   	   	1.5	1.5	
06/17/2021	14:26:35	0.23	0.23	9501.5	   	   	1.5	1.5	
06/17/2021	14:16:35	0.23	0.23	9501.4	   	   	1.5	1.5	
06/17/2021	14:06:35	0.23	0.23	9501.4	   	   	1.5	1.5	
06/17/2021	13:56:35	0.23	0.23	9501.3	   	   	1.5	1.5	
06/17/2021	13:46:35	0.23	0.23	9501.3	   	   	1.5	1.5	
06/17/2021	13:36:35	0.23	0.23	9501.3	   	   	1.5	1.5	
06/17/2021	13:26:35	0.23	0.23	9501.2	   	   	1.5	1.5	
06/17/2021	13:16:35	0.23	0.23	9501.2	   	   	1.5	1.5	
06/17/2021	13:06:35	0.21	0.23	9501.2	   	   	1.4	1.5	
06/17/2021	12:56:35	0.21	0.23	9501.1	   	   	1.4	1.5	
06/17/2021	12:46:35	0.23	0.23	9501.1	   	   	1.5	1.5	
06/17/2021	12:36:35	0.23	0.23	9501.0	   	   	1.5	1.5	
06/17/2021	12:26:35	0.23	0.23	9501.0	   	   	1.5	1.5	
06/17/2021	12:16:35	0.23	0.23	9501.0	   	   	1.5	1.5	
06/17/2021	12:06:35	0.23	0.23	9500.9	   	   	1.5	1.5	
06/17/2021	11:56:35	0.23	0.23	9500.9	   	   	1.5	1.5	
06/17/2021	11:46:35	0.23	0.23	9500.9	   	   	1.5	1.5	
06/17/2021	11:36:35	0.23	0.23	9500.8	   	   	1.5	1.5	
06/17/2021	11:26:35	0.23	0.23	9500.8	   	   	1.5	1.5	
06/17/2021	11:16:35	0.23	0.23	9500.7	   	   	1.5	1.5	
06/17/2021	11:06:35	0.23	0.23	9500.7	   	   	1.5	1.5	
06/17/2021	10:56:35	0.23	0.23	9500.7	   	   	1.5	1.5	
06/17/2021	10:46:35	0.21	0.23	9500.6	   	   	1.4	1.5	
06/17/2021	10:36:35	0.23	0.23	9500.6	   	   	1.5	1.5	
06/17/2021	10:26:35	0.23	0.23	9500.6	   	   	1.5	1.5	
06/17/2021	10:16:35	0.23	0.23	9500.5	   	   	1.5	1.5	
06/17/2021	10:06:35	0.23	0.23	9500.5	   	   	1.5	1.5	
06/17/2021	09:56:35	0.23	0.23	9500.5	   	   	1.5	1.5	
06/17/2021	09:46:34	0.23	0.23	9500.4	   	   	1.5	1.5	
06/17/2021	09:36:34	0.23	0.23	9500.4	   	   	1.5	1.5	
06/17/2021	09:26:34	0.23	0.23	9500.3	   	   	1.5	1.5	
06/17/2021	09:16:34	0.23	0.23	9500.3	   	   	1.5	1.5	
06/17/2021	09:06:34	0.23	0.23	9500.3	   	   	1.5	1.5	
06/17/2021	08:56:34	0.23	0.23	9500.2	   	   	1.5	1.5	
06/17/2021	08:46:34	0.23	0.23	9500.2	   	   	1.5	1.5	
06/17/2021	08:36:34	0.23	0.23	9500.2	   	   	1.5	1.5	
06/17/2021	08:26:34	0.23	0.23	9500.1	   	   	1.5	1.5	
06/17/2021	08:16:34	0.23	0.23	9500.1	   	   	1.5	1.5	
06/17/2021	08:06:34	0.23	0.23	9500.0	   	   	1.5	1.5	
06/17/2021	07:56:34	0.23	0.23	9500.0	   	   	1.5	1.5	
06/17/2021	07:46:34	0.23	0.23	9500.0	   	   	1.5	1.5	
06/17/2021	07:36:34	0.23	0.23	9499.9	   	   	1.5	1.5	
06/17/2021	07:26:34	0.23	0.23	9499.9	   	   	1.5	1.5	
06/17/2021	07:16:34	0.23	0.23	9499.9	   	   	1.5	1.5	
06/17/2021	07:06:34	0.23	0.23	9499.8	   	   	1.5	1.5	
06/17/2021	06:56:34	0.23	0.23	9499.8	   	   	1.5	1.5	
06/17/2021	06:46:34	0.23	0.23	9499.7	   	   	1.5	1.5	
06/17/2021	06:36:34	0.23	0.23	9499.7	   	   	1.5	1.5	
06/17/2021	06:26:34	0.23	0.23	9499.7	   	   	1.5	1.5	
06/17/2021	06:16:34	0.23	0.23	9499.6	   	   	1.5	1.5	
06/17/2021	06:06:34	0.23	0.23	9499.6	   	   	1.5	1.5	
06/17/2021	05:56:34	0.23	0.23	9499.6	   	   	1.5	1.5	
06/17/2021	05:46:34	0.23	0.23	9499.5	   	   	1.5	1.5	
06/17/2021	05:36:34	0.23	0.23	9499.5	   	   	1.5	1.5	
06/17/2021	05:26:34	0.23	0.23	9499.4	   	   	1.5	1.5	
06/17/2021	05:16:34	0.23	0.23	9499.4	   	   	1.5	1.5	
06/17/2021	05:06:33	0.23	0.23	9499.4	   	   	1.5	1.5	
06/17/2021	04:56:33	0.23	0.23	9499.3	   	   	1.5	1.5	
06/17/2021	04:46:33	0.23	0.23	9499.3	   	   	1.5	1.5	
06/17/2021	04:36:33	0.23	0.23	9499.3	   	   	1.5	1.5	
06/17/2021	04:26:33	0.23	0.23	9499.2	   	   	1.5	1.5	
06/17/2021	04:16:33	0.23	0.23	9499.2	   	   	1.5	1.5	
06/17/2021	04:06:33	0.23	0.23	9499.2	   	   	1.5	1.5	
06/17/2021	03:56:33	0.23	0.23	9499.1	   	   	1.5	1.5	
06/17/2021	03:46:33	0.23	0.23	9499.1	   	   	1.5	1.5	
06/17/2021	03:36:33	0.23	0.23	9499.0	   	   	1.5	1.5	
06/17/2021	03:26:33	0.23	0.23	9499.0	   	   	1.5	1.5	
06/17/2021	03:16:33	0.23	0.23	9499.0	   	   	1.5	1.5	
06/17/2021	03:06:33	0.23	0.23	9498.9	   	   	1.5	1.5	
06/17/2021	02:56:33	0.23	0.23	9498.9	   	   	1.5	1.5	
06/17/2021	02:46:33	0.22	0.23	9498.9	   	   	1.5	1.5	
06/17/2021	02:36:33	0.22	0.23	9498.8	   	   	1.5	1.5	
06/17/2021	02:26:33	0.23	0.23	9498.8	   	   	1.5	1.5	
06/17/2021	02:16:33	0.23	0.23	9498.7	   	   	1.5	1.5	
06/17/2021	02:06:33	0.23	0.23	9498.7	   	   	1.5	1.5	
06/17/2021	01:56:33	0.23	0.23	9498.7	   	   	1.5	1.5	
06/17/2021	01:46:33	0.23	0.23	9498.6	   	   	1.5	1.5	
06/17/2021	01:36:33	0.23	0.23	9498.6	   	   	1.5	1.5	
06/17/2021	01:26:33	0.22	0.23	9498.6	   	   	1.5	1.5	
06/17/2021	01:16:33	0.23	0.23	9498.5	   	   	1.5	1.5	
06/17/2021	01:06:33	0.23	0.23	9498.5	   	   	1.5	1.5	
06/17/2021	00:56:33	0.23	0.23	9498.4	   	   	1.5	1.5	
06/17/2021	00:46:33	0.23	0.23	9498.4	   	   	1.5	1.5	
06/17/2021	00:36:33	0.23	0.23	9498.4	   	   	1.5	1.5	
06/17/2021	00:26:32	0.23	0.23	9498.3	   	   	1.5	1.5	
06/17/2021	00:16:32	0.22	0.23	9498.3	   	   	1.5	1.5	
06/17/2021	00:06:32	0.22	0.23	9498.3	   	   	1.5	1.5	
06/16/2021	23:56:32	0.23	0.23	9498.2	   	   	1.5	1.5	
06/16/2021	23:46:32	0.23	0.23	9498.2	   	   	1.5	1.5	
06/16/2021	23:36:32	0.23	0.23	9498.1	   	   	1.5	1.5	
06/16/2021	23:26:32	0.23	0.23	9498.1	   	   	1.5	1.5	
06/16/2021	23:16:32	0.23	0.23	9498.1	   	   	1.5	1.5	
06/16/2021	23:06:32	0.23	0.23	9498.0	   	   	1.5	1.5	
06/16/2021	22:56:32	0.22	0.23	9498.0	   	   	1.5	1.5	
06/16/2021	22:46:32	0.22	0.23	9498.0	   	   	1.5	1.5	
06/16/2021	22:36:32	0.23	0.23	9497.9	   	   	1.5	1.5	
06/16/2021	22:26:32	0.23	0.23	9497.9	   	   	1.5	1.5	
